report_date,location,location_type,data_field,data_field_code,year,week,value,unit
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_travel,PR0001,NA,NA,1,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_local,PR0002,2015-2016,NA,17,cases
2016-01-27,United_States-Puerto_Rico,territory,yearly_reported_travel_cases,PR0003,2015-2016,NA,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reporeted_visitor,PR0004,2015-2016,NA,1,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_hospitalized,PR0005,2015-2016,NA,2,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_pregnant,PR0006,2015-2016,NA,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_fatal,PR0007,2015-2016,NA,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_age_group_1,PR0008,2015-2016,NA,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_age_group_2,PR0009,2015-2016,NA,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_age_group_3,PR0010,2015-2016,NA,2,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_age_group_4,PR0011,2015-2016,NA,4,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_age_group_5,PR0012,2015-2016,NA,10,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_age_group_6,PR0013,2015-2016,NA,2,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,NA,9,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,NA,9,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,42,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,43,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,44,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,45,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,46,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,47,1,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,48,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,49,NA,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,50,2,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,51,1,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2015,52,5,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,1,3,cases
2016-01-27,United_States-Puerto_Rico,territory,zika_reported_cummulative,PR0000,2016,2,6,cases
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
